i,side,s,qty,price,fee,reason,terminal
765,buy,LTFOODS.NS,15,405.54499017576404,14.394166498854561,,
765,buy,IFCI.NS,24,57.01834076385499,7.523279318982671,,
765,sell,ANANDRATHI.NS,5,1036.0314506582356,29.980399188832493,scheduled,False
765,sell,HUDCO.NS,12,196.3024868263134,26.840964888569,scheduled,False
765,sell,IRFC.NS,23,139.67553080910818,27.728914581528578,scheduled,False
765,sell,TARIL.NS,6,403.8471020390834,26.910861202945306,scheduled,False
765,sell,TATAINVEST.NS,9,704.3350220520449,32.54869029724084,scheduled,False
765,buy,WOCKPHARMA.NS,2,1071.284,8.441569868368001,,
765,buy,INOXWIND.NS,11,216.7598,8.728387215662801,,
765,buy,SIGNATURE.NS,3,1481.776,11.173163652127998,,
765,buy,INDIACEM.NS,17,361.68350000000004,14.549023325007001,,
765,buy,GODFRYPHLP.NS,1,2146.238456129059,8.44592385886015,,
765,buy,MCX.NS,2,1321.2973881524194,9.034714631116984,,
765,buy,SUZLON.NS,41,70.6747043334961,9.337283044730937,,
765,buy,LTFOODS.NS,8,405.54499017576404,9.748544092129887,,
765,buy,IFCI.NS,51,57.01834076385499,9.349468552838177,,
767,sell,LTFOODS.NS,15,344.849177541628,29.963955700195584,stop,False
767,sell,LTFOODS.NS,8,344.849177541628,27.258733470778008,stop,False
778,sell,SIGNATURE.NS,5,1297.2507688753706,32.875004412507934,stop,False
778,sell,SIGNATURE.NS,3,1297.2507688753706,28.43273492568595,stop,False
781,sell,SUZLON.NS,76,57.9304,28.962202986950402,stop,False
781,sell,SUZLON.NS,41,57.9304,26.8611884534864,stop,False
783,sell,MCX.NS,5,1158.7312862825345,31.340052018363984,stop,False
783,sell,MCX.NS,2,1158.7312862825345,26.801414971718813,stop,False
798,sell,INDIACEM.NS,32,341.23600511684486,42.7001954136347,stop,False
798,sell,INDIACEM.NS,17,341.23600511684486,31.356353813493442,stop,False
806,sell,GODFRYPHLP.NS,2,1754.0194775560828,28.03512117430006,stop,False
806,sell,GODFRYPHLP.NS,1,1754.0194775560828,26.217560587150032,stop,False
818,sell,INOXWIND.NS,20,167.96022590216106,27.880895060913854,stop,False
818,sell,INOXWIND.NS,11,167.96022590216106,26.31449228350262,stop,False
828,sell,GVT&D.NS,4,1817.0227205671615,34.607731983646715,scheduled,False
828,sell,IFCI.NS,24,57.03147847595214,25.818340019565326,scheduled,False
828,sell,TRENT.NS,3,5717.362498817185,56.51290226391084,scheduled,False
828,sell,WOCKPHARMA.NS,4,1372.3512,30.6657616422848,scheduled,False
828,buy,GOLDBEES.NS,143,67.33070000000001,22.782710370162604,,
828,buy,SILVERBEES.NS,127,88.32586522216798,26.542867762671086,,
828,buy,INDIGRID.NS,94,121.81085119091948,27.093808297987955,,
828,buy,LIQUIDBEES.NS,3,964.5519439425327,9.332529782765524,,
828,sell,GVT&D.NS,2,1817.0227205671615,28.165692371284855,scheduled,False
828,sell,IFCI.NS,51,57.03147847595214,27.41397254157632,scheduled,False
828,sell,WOCKPHARMA.NS,2,1372.3512,27.2441319891424,scheduled,False
891,buy,PGEL.NS,2,870.6602291690797,7.965599602012642,,
891,buy,CHAMBLFERT.NS,10,653.5202289540459,15.463765572770164,,
891,buy,DEEPAKFERT.NS,3,1278.5151271870159,10.449823655787634,,
891,buy,MANAPPURAM.NS,38,223.5537977979761,20.101194732435925,,
891,buy,WOCKPHARMA.NS,1,1406.5859044433596,7.568528771084228,,
891,buy,CARTRADE.NS,1,1682.016,7.895251111616,,
891,buy,PAYTM.NS,4,878.1024477783204,10.066511816873144,,
891,buy,MAZDOCK.NS,1,2631.9191841502156,9.022050966137774,,
891,buy,COROMANDEL.NS,1,2189.51890978029,8.497264258273034,,
891,buy,ACUTAAS.NS,2,1068.8940861550611,8.435899912486747,,
891,buy,GODFRYPHLP.NS,1,2601.5469706164076,8.98602265676642,,
891,buy,BLUEJET.NS,3,708.1234596440959,8.419983377119332,,
891,buy,SARDAEN.NS,4,468.58682211162835,8.123399486584754,,
891,buy,GABRIEL.NS,6,543.18661945946,9.766052545129506,,
891,buy,NAVA.NS,6,468.77025585561154,9.236404793135472,,
891,sell,GOLDBEES.NS,79,80.70304304809571,32.62963840030241,scheduled,False
891,sell,SILVERBEES.NS,29,94.83605695190431,27.249876050580276,scheduled,False
891,sell,INDIGRID.NS,20,126.6319853302002,27.02438711261544,scheduled,False
891,buy,PGEL.NS,1,870.6602291690797,6.93279980100632,,
891,buy,CHAMBLFERT.NS,6,653.5202289540459,10.551336122667454,,
891,buy,DEEPAKFERT.NS,1,1278.5151271870159,7.416607885262545,,
891,buy,MANAPPURAM.NS,23,223.5537977979761,12.166512601211219,,
891,buy,WOCKPHARMA.NS,1,1406.5859044433596,7.568528771084228,,
891,buy,PAYTM.NS,2,878.1024477783204,7.983255908436571,,
891,buy,COROMANDEL.NS,1,2189.51890978029,8.497264258273034,,
891,buy,ACUTAAS.NS,1,1068.8940861550611,7.1679499562433735,,
891,buy,BLUEJET.NS,1,708.1234596440959,6.739994459039777,,
891,buy,SARDAEN.NS,2,468.58682211162835,7.011699743292376,,
891,buy,GABRIEL.NS,4,543.18661945946,8.47736836341967,,
891,buy,NAVA.NS,3,468.77025585561154,7.568202396567736,,
908,sell,CHAMBLFERT.NS,10,573.4233657782612,31.20835772245293,stop,False
908,sell,CHAMBLFERT.NS,6,573.4233657782612,27.96517720376167,stop,False
954,sell,ACUTAAS.NS,2,1181.4761176537324,26.84855254298371,scheduled,False
954,sell,BLUEJET.NS,3,812.3899467923155,26.925458755014443,scheduled,False
954,sell,CARTRADE.NS,1,1942.5661443847657,26.41293754553125,scheduled,False
954,sell,COROMANDEL.NS,1,2454.263663292763,26.943171818759208,scheduled,False
954,sell,GABRIEL.NS,6,983.6700038948832,31.58021022831165,scheduled,False
954,sell,MANAPPURAM.NS,38,268.0489291027407,41.07416622608672,scheduled,False
954,sell,MAZDOCK.NS,1,2938.416222609027,27.444863288689263,scheduled,False
954,sell,NAVA.NS,6,619.3065268814669,28.250449150745652,scheduled,False
954,sell,PAYTM.NS,4,1098.68,28.95392312672,scheduled,False
954,sell,PGEL.NS,2,798.6879481874266,26.05524243559693,scheduled,False
954,sell,SARDAEN.NS,4,444.68587369463427,26.243180256620384,scheduled,False
954,buy,BSE.NS,1,2535.2672475933578,8.90739992604368,,
954,buy,MCX.NS,5,1624.757932756202,19.222722320969886,,
954,buy,ANURAS.NS,11,1141.4680955566407,29.710686344642685,,
954,buy,MFSL.NS,8,1527.631008886719,28.917761693071885,,
954,buy,RPOWER.NS,95,56.848134777832044,12.77897578346699,,
954,sell,GOLDBEES.NS,86,82.50087847595215,34.22429090350711,scheduled,False
954,sell,SILVERBEES.NS,55,111.106509866333,32.04304247642631,scheduled,False
954,sell,INDIGRID.NS,38,139.47394726194676,30.2460199532931,scheduled,False
954,sell,LIQUIDBEES.NS,2,989.051092626953,26.449760915016913,scheduled,False
954,sell,ACUTAAS.NS,1,1181.4761176537324,25.62427627149186,scheduled,False
954,sell,BLUEJET.NS,1,812.3899467923155,25.241819585004812,scheduled,False
954,sell,COROMANDEL.NS,1,2454.263663292763,26.943171818759208,scheduled,False
954,sell,GABRIEL.NS,4,983.6700038948832,28.477217733823913,scheduled,False
954,sell,MANAPPURAM.NS,23,268.0489291027407,32.16331113684196,scheduled,False
954,sell,NAVA.NS,3,619.3065268814669,26.325224575372825,scheduled,False
954,sell,PAYTM.NS,2,1098.68,26.67696156336,scheduled,False
954,sell,PGEL.NS,1,798.6879481874266,25.227621217798465,scheduled,False
954,sell,SARDAEN.NS,2,444.68587369463427,25.32159012831019,scheduled,False
954,buy,MCX.NS,2,1624.757932756202,9.754660207083315,,
954,buy,ANURAS.NS,5,1141.4680955566407,13.504857429383037,,
954,buy,MFSL.NS,4,1527.631008886719,14.458880846535942,,
